         0.99999999999999995475E-06         0.60517973434711041499E-11         0.61714344440949732395E-09         0.39171692747268179825E-08
         0.43000000000000001160E-05         0.25707352330400789305E-05         0.24725652687184675572E-05         0.64423797969242612409E-06
         0.76000000000000002773E-05         0.91479223405326233284E-05         0.14535292884534724346E-04         0.15901987577421593918E-05
         0.10900000000000000438E-04         0.19855307646634029516E-03         0.20441516028479066785E-03         0.48405110834277614040E-05
         0.14200000000000000600E-04         0.12480345802810691336E-03         0.77067613189652623571E-04         0.95083046793262796823E-05
         0.17500000000000000762E-04         0.27910585577605840860E-04         0.51894397617288146803E-04         0.77126983065141094016E-07
         0.20800000000000000923E-04         0.17293983044791270813E-03         0.11603693666229365537E-03         0.93315293710672990018E-05
         0.24100000000000001085E-04         0.14128780064366916579E-03         0.96823597039208820051E-04         0.23219147876671889265E-06
         0.27400000000000001247E-04         0.54635382388382740639E-05         0.38211782827091679081E-04         0.41104081536898033534E-07
         0.30700000000000001407E-04         0.23991081730981912448E-03         0.18974502114776826052E-03         0.23407007376296927454E-04
         0.34000000000000001568E-04         0.16793370867622403277E-03         0.15239924291287742058E-03         0.43612090214912917359E-04
         0.37300000000000001730E-04         0.85785720928269358694E-04         0.63397928854666284690E-04         0.13642410521426319807E-04
         0.40600000000000001892E-04         0.47033173859184091468E-03         0.11932298011747020012E-04         0.43691082123755445187E-04
         0.43900000000000002053E-04         0.54436858028184883771E-03         0.30159082168424274034E-03         0.78333595929978634441E-04
         0.47200000000000002215E-04         0.52523902652624786873E-03         0.34449061221713293631E-03         0.50333291772137438462E-05
         0.50500000000000002377E-04         0.64519865563092500023E-03         0.10631254829725672599E-03         0.40401121497109192005E-04
         0.53800000000000002538E-04         0.63773667755127004189E-04         0.17398571463187776090E-04         0.13082889957142010135E-03
         0.57100000000000002700E-04         0.28120145604108151160E-03         0.97862368856649220588E-06         0.12844595529858662946E-03
         0.60400000000000002862E-04         0.12133353865226220750E-02         0.56847283138037164916E-04         0.50064327252834543399E-04
         0.63700000000000003020E-04         0.16767039270148744063E-02         0.24316893474221676309E-03         0.47903646875112730914E-06
         0.67000000000000003182E-04         0.13831848942210509288E-02         0.49287964622685315896E-03         0.34933683517755317970E-04
         0.70300000000000003344E-04         0.86246145766351898223E-03         0.68927399005246309685E-03         0.13005067133526001890E-03
         0.73600000000000003505E-04         0.59164558885881673519E-03         0.77824005043057082705E-03         0.22764335696748730702E-03
         0.76900000000000003667E-04         0.63621343459537494838E-03         0.78188473119912412673E-03         0.28089663941879335168E-03
         0.80200000000000003829E-04         0.79952065000091505138E-03         0.75414630970646262998E-03         0.27378202523735944164E-03
         0.83500000000000003990E-04         0.87633865395331042342E-03         0.73992219670562700715E-03         0.21763888883608496239E-03
         0.86800000000000004152E-04         0.78798963765551862561E-03         0.75911002255764355530E-03         0.13819373012864969832E-03
         0.90100000000000004314E-04         0.58643542072487147948E-03         0.80956395813614218879E-03         0.62954697838183860398E-04
         0.93400000000000004475E-04         0.39380155300707734245E-03         0.87715772390156413717E-03         0.13187052734425031816E-04
         0.96700000000000004637E-04         0.33651560836385536445E-03         0.94512903509628351443E-03         0.74924094446967803000E-06
